DATA DE REGISTRO,NORMA,LINK,ORIGEM,SITUAÇÃO,RESUMO,TEMA,ESTADO DE CUMPRIMENTO,ÁREA RESPONSÁVEL,CUMPRDEC CNJ/OFÍCIO CSJT,PROAD,PLANO DE AÇÃO PARA ADOÇÃO,LINK PARA PLANILHA,TOTAL ITENS SIM,TOTAL ITENS NÃO,OBSERVAÇÕES,LINK PARA FORMULÁRIO,PRIORIDADE DE FORMULÁRIO,IAD,NORMA - ORIGEM
20/01/2025,Resolução nº 613/2025,https://atos.cnj.jus.br/atos/detalhar/5938,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 303/2019, que dispõe sobre a gestão de precatórios e respectivos procedimentos operacionais no âmbito do Poder Judiciário. ",Precatórios,Não se aplica,Não se aplica,_,_,Não se aplica,,,,,,Não se aplica,,Resolução nº 613/2025 - CNJ
10/01/2024,Resolução nº 543/2024,https://atos.cnj.jus.br/atos/detalhar/5402,CNJ,Vigente,"Institui o Programa Nacional Permanente de Apoio à Desinstitucionalização de
Crianças e Adolescentes Acolhidos e a Egressos de Unidades de Acolhimento
– Programa Novos Caminhos/CNJ.
",Infância e Juventude,Não se aplica,Não se aplica,_,_,Não se aplica,,,,,,Não se aplica,,Resolução nº 543/2024 - CNJ
11/01/2024,Resolução nº 544/2024,https://atos.cnj.jus.br/atos/detalhar/5403,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 364/2021, que dispõe sobre a instituição da Unidade de Monitoramento e Fiscalização de decisões e deliberações da Corte Interamericana de Direitos Humanos no âmbito do Conselho Nacional de Justiça, bem como apresenta Modelo Exemplificativo com diretrizes para a criação de tal órgão nos tribunais.",Direitos Humanos,Não se aplica,Não se aplica,_,_,Não se aplica,,,,,,Não se aplica,,Resolução nº 544/2024 - CNJ
16/02/2024,Resolução nº 545/2024,https://atos.cnj.jus.br/atos/detalhar/5447,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 232/2016, que fixa os valores dos honorários a serem
pagos aos peritos, no âmbito da Justiça de primeiro e segundo graus, nos termos
do disposto no art. 95, § 3º, II, do Código de Processo Civil – Lei 13.105/2015.",Gestão Administrativa,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 545/2024 - CNJ
22/02/2024,Resolução nº 546/2024,https://atos.cnj.jus.br/atos/detalhar/5454,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 75/2009, para estabelecer novas regras quanto à cota para pessoas com deficiência, no Exame Nacional da Magistratura.",Direitos e Deveres dos Magistrados,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 546/2024 - CNJ
22/02/2024,Resolução nº 547/2024,https://atos.cnj.jus.br/atos/detalhar/5455,CNJ,Vigente,"Institui medidas de tratamento racional e eficiente na tramitação das execuções fiscais pendentes no Poder Judiciário, a partir do julgamento do tema 1184 da repercussão geral pelo STF.",Gestão Administrativa,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 547/2024 - CNJ
23/02/2024,Resolução nº 376/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/231316,CSJT,Meramente alteradora,"Altera a Resolução n. 355/CSJT, de 28 de abril de 2023, que regulamenta os procedimentos administrativos a serem adotados em relação a ações judiciais que tenham por objeto o assédio eleitoral nas relações de trabalho.",Acesso à Justiça e Cidadania,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 376/2024 - CSJT
15/03/2024,Resolução nº 548/2024,https://atos.cnj.jus.br/atos/detalhar/5486,CNJ,Meramente alteradora,Altera o Regimento Interno do Conselho Nacional de Justiça.,Funcionamento do CNJ/CSJT,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 548/2024 - CNJ
18/03/2024,Resolução nº 549/2024,https://atos.cnj.jus.br/atos/detalhar/5498,CNJ,Meramente alteradora,"Altera as Resoluções CNJ nº 401/2021 e 512/2023, com o fim de uniformizar os parâmetros das políticas de inclusão adotadas pelo Conselho Nacional de Justiça nos concursos de servidores do Poder Judiciário. ",Acessibilidade e Sustentabilidade,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 549/2024 - CNJ
22/03/2024,Resolução nº 377/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/231210,CSJT,Vigente,Dispõe sobre a regulamentação das mediações pré-processuais individuais e coletivas no âmbito da Justiça do Trabalho de primeiro e segundo graus.,Acesso à Justiça e Cidadania,Em análise,Núcleo Permanente de Métodos Consensuais de Solução de Disputas da Justiça do Trabalho,,,Não se aplica,https://docs.google.com/spreadsheets/d/1gGmERSFsSz48YaKft4Zmk9i9Q6vKKf0G-nZwW3zJShg/edit?resourcekey=&gid=1046294394#gid=1046294394,,,,https://docs.google.com/forms/d/1d8OSDFUNILk30sMXBGjbMl07tVf5HzwxG_U6bzT5jIM/edit,Sim,,Resolução nº 377/2024 - CSJT
03/04/2024,Resolução nº 550/2024,https://atos.cnj.jus.br/atos/detalhar/5509,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 400/2021, que dispõe sobre a política de sustentabilidade no âmbito do Poder Judiciário. ",Acessibilidade e Sustentabilidade,Não se aplica,Não se aplica,_,_,Não se aplica,,,,,,Não se aplica,,Resolução nº 550/2024 - CNJ
11/04/2024,Resolução nº 551/2024,https://atos.cnj.jus.br/atos/detalhar/5510,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 194/2014, que instituiu a Política Nacional de Atenção Prioritária ao Primeiro Grau de Jurisdição e dá outras providências.",Priorização do Primeiro Grau,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 551/2024 - CNJ
11/04/2024,Resolução nº 552/2024,https://atos.cnj.jus.br/atos/detalhar/5511,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 195/2014, que dispõe sobre a distribuição de orçamento nos órgãos do Poder Judiciário de primeiro e segundo graus e dá outras providências. ",Priorização do Primeiro Grau,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 552/2024 - CNJ
11/04/2024,Resolução nº 553/2024,https://atos.cnj.jus.br/atos/detalhar/5512,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 219/2016, que dispõe sobre a distribuição de servidores, de cargos em comissão e de funções de confiança nos órgãos do Poder Judiciário de primeiro e segundo graus e dá outras providências.",Priorização do Primeiro Grau,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 553/2024 - CNJ
11/04/2024,Resolução nº 554/2024,https://atos.cnj.jus.br/atos/detalhar/5521,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 417/2021, que institui e regulamenta o Banco Nacional de Medidas Penais e Prisões (BNMP 3.0), e dá outras providências.",Execução Penal e Sistema Carcerário,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 554/2024 - CNJ
17/04/2024,Resolução nº 555/2024,https://atos.cnj.jus.br/atos/detalhar/5533,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 508/2023, que dispõe sobre a instalação de Pontos de Inclusão Digital (PID) pelo Poder Judiciário. ",Gestão da Informação e de Demandas Judiciais,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 555/2024 - CNJ
26/04/2024,Resolução nº 378/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/232834,CSJT,Meramente alteradora,"Altera a Resolução n. 155/CSJT, de 23 de outubro de 2015, que dispõe sobre a Gratificação por Exercício Cumulativo de Jurisdição – (GECJ) no âmbito da Justiça do Trabalho de primeiro e segundo graus.",Direitos e Deveres dos Magistrados,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 378/2024 - CSJT
26/04/2024,Resolução nº 379/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/233074,CSJT,Meramente alteradora,"Altera a Resolução n. 92/CSJT, de 29 de fevereiro de 2012, que dispõe sobre as diretrizes básicas para a implantação do modelo de Gestão de Pessoas por Competências no âmbito da Justiça do Trabalho de primeiro e segundo graus; a Resolução n. 260/CSJT, de 14 de fevereiro de 2020, que aprova o Modelo de Gestão Estratégica do Conselho Superior da Justiça do Trabalho (MGE-CSJT); e a Resolução n. 324/CSJT, de 11 de fevereiro de 2022, que dispõe sobre o Programa Nacional de Prevenção de Acidentes de Trabalho – Programa Trabalho Seguro.",Gestão de Pessoas,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 379/2024 - CSJT
26/04/2024,Resolução nº 380/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/233054,CSJT,Orientadora/ Informativa,Dispõe sobre as Tabelas para atualização e conversão de débitos trabalhistas.,Gestão e Organização Judiciária,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 380/2024 - CSJT
26/04/2024,Resolução nº 381/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/233075,CSJT,Meramente alteradora,"Referenda o Ato n. 28/CSJT.GP.SG.SEJUR, de 3 de abril de 2024, que altera a Resolução n. 124/CSJT, de 28 de fevereiro de 2013, que regulamenta a concessão de diárias e a aquisição de passagens aéreas no âmbito da Justiça do Trabalho de primeiro e segundo graus.",Gestão de Pessoas,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 381/2024 - CSJT
30/04/2024,Resolução nº 556/2024,https://atos.cnj.jus.br/atos/detalhar/5548,CNJ,Meramente alteradora,"Altera a Resolução CNJ nº 321/2020, para assegurar a pais ou mães, genitores monoparentais, e casais em união estável homoafetiva, o direito a usufruírem das licenças-maternidade e paternidade; e a Resolução CNJ nº 343/2020, para ampliar as hipóteses de concessão de condições especiais de trabalho. ",Gestão de Pessoas,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 556/2024 - CNJ
30/04/2024,Resolução nº 557/2024,https://atos.cnj.jus.br/atos/detalhar/5549,CNJ,Vigente,Institui Política Pública de Estímulo à Lotação e à Permanência de Magistrados(as) em Comarcas definidas como de difícil provimento.,Direitos e Deveres dos Magistrados,"0,00%",Secretaria Geral da Presidência,,,Não iniciado,https://docs.google.com/spreadsheets/d/1guvO6qkWzRfJxn2npsVtqHRoP7wNojOmyMT_GprjcBg/edit?resourcekey#gid=2051828844,0,14,,https://docs.google.com/forms/d/1Ipw-1k2mszX8sd7HO-jQqi7ZOb_TRlPOegjH0ssLlo4/edit,Não,"0,00%",Resolução nº 557/2024 - CNJ
06/05/2024,Resolução nº 558/2024,https://atos.cnj.jus.br/atos/detalhar/5555,CNJ,Alterada,"Estabelece diretrizes para a gestão e destinação de valores e bens oriundos de pena de multa, perda de bens e valores e prestações pecuniárias decorrentes de condenações criminais, colaboração premiada, acordos de leniência e acordos de cooperação internacional no âmbito do Poder Judiciário e dá outras providências. ",Execução Penal e Sistema Carcerário,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 558/2024 - CNJ
14/05/2024,Resolução nº 560/2024,https://atos.cnj.jus.br/atos/detalhar/5581,CNJ,Meramente alteradora,"Altera as Resoluções CNJ n.º 293/2019 e 343/2020, conferindo maior efetividade à Política de Atenção Integral à Saúde de Magistrados e Servidores. ",Direitos e Deveres dos Magistrados,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 560/2024 - CNJ
24/05/2024,Resolução nº 382/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/233539,CSJT,Vigente,"Regimento Interno do Conselho Superior da Justiça do Trabalho [aprovado pela Resolução n. 382/CSJT, de 24 de maio de 2024]",Funcionamento do CNJ/CSJT,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 382/2024 - CSJT
24/05/2024,Resolução nº 383/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/233580,CSJT,Vigente,Regulamenta o Procedimento Unificado de Remoção de magistrados(as) entre Tribunais Regionais do Trabalho.,Direitos e Deveres dos Magistrados,"100,00%",Secretaria Geral da Presidência,,,,https://docs.google.com/spreadsheets/d/1jdj4N5HhdctU4vspsF4pEvyrQhpjhU0XVKcCVDOBZEE/edit?resourcekey=&gid=1798365663#gid=1798367942,3,0,,https://docs.google.com/forms/d/1_YLeI9Pkizwl9X_Lq_rBjLUQHWugdazT0KZx3T-Pu1A/edit,Não,"100,00%",Resolução nº 383/2024 - CSJT
24/05/2024,Resolução nº 384/2024,https://juslaboris.tst.jus.br/handle/20.500.12178/233540,CSJT,Meramente alteradora,"Altera a Resolução n. 199/CSJT, de 25 de agosto de 2017, que regulamenta as consignações em folha de pagamento dos magistrados, servidores e beneficiários de pensão, no âmbito da Justiça do Trabalho de primeiro e segundo graus.",Gestão de Pessoas,Não se aplica,Não se aplica,,,Não se aplica,,,,,,Não se aplica,,Resolução nº 384/2024 - CSJT
27/05/2024,Resolução nº 561/2024,https://atos.cnj.jus.br/atos/detalhar/5582,CNJ,Meramente alteradora,"Altera as Resoluções CNJ nº 106/2010 e 401/2021, conferindo maior efetividade à Política de Atenção Integral à Saúde de Magistrados e Servidores e às diretrizes de acessibilidade e inclusão de pessoas com deficiência nos órgãos do Poder Judiciário e em seus serviços auxiliares. ",Gestão de Pessoas,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 561/2024 - CNJ
