,0,1,2,3
"Art. 1º Fica instituída a Política Pública de Estímulo à Lotação e à Permanência de Magistrados(as) em Comarcas definidas como de difícil provimento, com o objetivo de estabelecer incentivos à interiorização e à eficiência da prestação judiciária ",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 

(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 

I – unidade em município com pouca estrutura urbana: aquela cujo município da sede da comarca tenha população inferior a 30 (trinta) mil habitantes;  
(...)",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 
(...)
II – unidade em zona de fronteira: aquela cuja sede da Comarca esteja situada a até 150 (cento e cinquenta) quilômetros em linha reta de qualquer fronteira internacional;   
(...)",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 
(...)
III – unidade muito distante: aquela cuja sede da comarca esteja situada a mais de 400 (quatrocentos) quilômetros de distância pela via rodoviária mais curta da sede do respectivo tribunal, observando-se ainda, no caso de tribunais com jurisdição sobre mais de um estado, que diste também mais de 400 (quatrocentos) quilômetros de quaisquer das capitais dos demais estados que integrem a respectiva jurisdição;  
(...)",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 
(...)
IV – unidade de atuação especial: aquela que, embora não contemplada nas hipóteses anteriores, possua significativa rotatividade de magistrados(as) titulares ou substitutos(as), ou competência de matéria de alta complexidade ou demandas de grande repercussão ou exponha o(a) magistrado(a) a agravado risco de segurança, nos termos definidos pelos conselhos e tribunais e enquanto perdurar a situação, limitando-se o número total de unidades assim enquadradas nesse caso a não mais de 10% (dez por cento) do total do respectivo tribunal 
(...)",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 
(...)
§ 1º Ficam excluídas do disposto nos incisos II e III deste artigo as unidades judiciárias situadas na Capital Federal, nas capitais dos estados ou nos municípios das sedes dos respectivos tribunais  
(...)",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 
(...)
§ 2º Nas Unidades Judiciárias situadas nos estados da Região Norte do país, as distâncias indicadas nos incisos II e III deste artigo poderão ser excepcionalmente reduzidas, a critério do tribunal ou conselho, nos casos em que não houver acesso rodoviário da sede do respectivo tribunal e da capital do estado ou se o acesso for apenas multimodal e especialmente oneroso, demorado ou perigoso.  
(...)",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 2º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, deverão instituir mecanismos de estímulo à lotação e à permanência de magistrados(as) em comarcas de difícil provimento assim definidas: 
(...)
§ 3º Os mecanismos de estímulo à lotação e à permanência de magistrados deverão alcançar, no âmbito de cada tribunal, todas as comarcas que se enquadrem na definição de difícil provimento dos incisos I, II e III e, a critério do conselho ou tribunal, as unidades por eles definidas na forma do inciso IV, todos deste artigo. 
",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
I – prioridade para participação em ações de formação presenciais ou telepresenciais e para licença de capacitação, proporcional ao tempo de lotação e residência nessas comarcas;  
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
