NORMA,ORIGEM,LINK PARA PLANILHA,ÁREA RESPONSÁVEL,NORMA - ORIGEM
Resolução nº 557/2024,CNJ,https://docs.google.com/spreadsheets/d/1guvO6qkWzRfJxn2npsVtqHRoP7wNojOmyMT_GprjcBg/edit?resourcekey#gid=2051828844,Secretaria Geral da Presidência,Resolução nº 557/2024 - CNJ
Resolução nº 383/2024,CSJT,https://docs.google.com/spreadsheets/d/1jdj4N5HhdctU4vspsF4pEvyrQhpjhU0XVKcCVDOBZEE/edit?resourcekey=&gid=1798365663#gid=1798367942,Secretaria Geral da Presidência,Resolução nº 383/2024 - CSJT
Resolução nº 594/2024,CNJ,https://docs.google.com/spreadsheets/d/1Hc8pnNzDQ1mlJRddKdVAkF5sPHPP33Sh6HhPvU-gZDA/edit?resourcekey=&gid=1825382339#gid=1825382339,Secretaria Geral da Presidência,Resolução nº 594/2024 - CNJ
Resolução nº 598/2024,CNJ,https://docs.google.com/spreadsheets/d/1UF656ITtIskmG67tOpoQtdXRgyG7hAOaDcxMFiVsqwc/edit?resourcekey=&gid=1525989540#gid=1525989540,Secretaria Geral da Presidência,Resolução nº 598/2024 - CNJ
Resolução nº 599/2024,CNJ,https://docs.google.com/spreadsheets/d/1Yk009_Zh2gIOJum-cALHieeE9LDT9jcFHHdotr7asao/edit?resourcekey=&gid=270993738#gid=270993738,Secretaria Geral da Presidência,Resolução nº 599/2024 - CNJ
Resolução nº 492/2023,CNJ,https://docs.google.com/spreadsheets/d/1CX4K4f5DwNk935lZr7_usmON4-jA3W_cM2RI8A3TN7A/edit?resourcekey=&gid=1183976333#gid=1183976333,Secretaria Executiva da Escola Judicial,Resolução nº 492/2023 - CNJ
Resolução nº 508/2023,CNJ,https://docs.google.com/spreadsheets/d/13dHx7xU4T_DoGx7dlOA3wCnA-7q-QwyK-4Rk0EyrAWo/edit?resourcekey=&gid=227949131#gid=227949131,Secretaria Geral da Presidência,Resolução nº 508/2023 - CNJ
Resolução nº 520/2023,CNJ,https://docs.google.com/spreadsheets/d/161gsCRA3dbSo103sppcyV6gcMKEPeyYj54w2zqe0usM/edit?resourcekey=&gid=31541529#gid=31541529,Secretaria Geral da Presidência,Resolução nº 520/2023 - CNJ
Resolução nº 364/2023,CSJT,https://docs.google.com/spreadsheets/d/1c0vV4JftN8gSD3Qg9Xh0ms6kueEmSfPq-4CHDEQHKn0/edit?resourcekey=&gid=1133268795#gid=1133268795,Secretaria Geral da Presidência,Resolução nº 364/2023 - CSJT
Resolução nº 366/2023,CSJT,https://docs.google.com/spreadsheets/d/1fjXAApjOQDdh_4h9dCBEMXc8zZ8o2MMj0Vu9KkeCLaM/edit?resourcekey=&gid=2086205526#gid=2086205526,Secretaria Geral da Presidência,Resolução nº 366/2023 - CSJT
Resolução nº 526/2023,CNJ,https://docs.google.com/spreadsheets/d/1w2oLnAshDPwIbu8ilUNugqGgA0FJGuk2-fuPPpkkQ8A/edit?resourcekey=&gid=533636687#gid=533636687,Secretaria Geral da Presidência,Resolução nº 526/2023 - CNJ
