,0
0,Não se aplica
1,Núcleo Permanente de Métodos Consensuais de Solução de Disputas da Justiça do Trabalho
2,Secretaria Geral da Presidência
3,Secretaria de Tecnologia da Informação e Comunicação
4,Diretoria Geral
5,Secretaria de Governança e Gestão Estratégica
6,Secretaria de Orçamento e Finanças
7,Secretaria de Gestão de Pessoas
8,Secretaria-Geral Judiciária
9,Secretaria Executiva da Escola Judicial
10,Secretaria Administrativa
11,Secretaria de Auditoria Interna
12,Secretaria Administrativa  e Judiciária do Fórum Autran Nunes 
13,"Secretaria de Execuções Unificadas, Leilões e Alienações Judiciais"
14,Ouvidoria
15,Secretaria de Saúde
16,
