,0
0,Infância e Juventude
1,Direitos Humanos
2,Gestão Administrativa
3,Direitos e Deveres dos Magistrados
4,Acesso à Justiça e Cidadania
5,Funcionamento do CNJ/CSJT
6,Acessibilidade e Sustentabilidade
7,Priorização do Primeiro Grau
8,Execução Penal e Sistema Carcerário
9,Gestão da Informação e de Demandas Judiciais
10,Gestão de Pessoas
11,Gestão e Organização Judiciária
12,Segurança do Judiciário
13,"Concursos, Promoção e Disciplina"
14,Funcionamento dos Órgãos Judiciais
15,Cartórios
16,Responsabilidade Social
17,Gestão Estratégica
18,Controle Administrativo e Financeiro
19,Tecnologia da Informação e Comunicação
20,Governança
21,Teto Remuneratório
22,Normas de Auditoria
23,Precatórios
24,Contratações
25,Igualdade de Gênero
26,Transparência
27,Nepotismo/Cargos e Funções
